name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"해통령 디포리 해물 다시팩, 320g, 1개",1,12900,12750,(10g당398원),내일(일) 새벽도착 보장,15150,613,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1749543742026287-efe38bef-83a2-41c2-80ce-c8179519e241.jpg
"바다원 간편 국물용팩 꽃게, 90g, 1세트",25,7900,5900,(10g당656원),내일(일) 새벽도착 보장,85,295,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1760882706872680-09924624-b3e7-4681-aaeb-f91126908099.jpg
"해통령 멸치 해물 다시팩, 320g, 1개",,,13120,(10g당410원),내일(일) 새벽도착 보장,6024,656,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/03/16/16/9/f2438a86-4fa6-42cc-9d04-8846c17f42da.jpg
"완도소안농협 비법육수 다시팩 지퍼백, 16g, 10개",,,8250,(10g당516원),내일(일) 새벽도착 보장,499,413,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5314120988466003-c371a4dc-72e6-4ca7-a015-89d815a56f01.jpg
"해통령 야채 해물 다시팩, 320g, 1개",,,12900,"(10g당8,063원)",내일(일) 새벽도착 보장,1741,645,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/03/16/16/1/11ee795d-eb41-471a-a1d8-42dde94cad23.jpg
"조혜정의멸치연구소 삼천포 디포리해물다시팩 (냉동), 16g*30팩, 1개",,,15200,(10g당317원),내일(일) 새벽도착 보장,1936,760,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/859209241329044-cd589034-0318-43ea-ba11-ef8539f23967.jpg
"해통령 더 간편한 육수명장 20개입, 80g, 4개",,,25300,(10g당791원),내일(일) 새벽도착 보장,,1265,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2024/07/01/10/7/1e5d4deb-c62e-499f-8d6b-2518a58895e6.jpg
"곰곰 진한 국물용 디포리해물 다시팩, 18g, 30개",12,15800,13760,(10g당255원),내일(일) 새벽도착 보장,2061,688,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/15752534874832782-fcafb13b-da41-46d7-b7ee-977a96317c61.jpg
"청해명가 더진한 육수한알 진한맛 60개입, 240g, 1개",8,21400,19670,(10g당820원),내일(일) 새벽도착 보장,27,834,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/bw6uywq4/82fd7019237943e1af6f50d7e8d43895.jpg
"멸치 디포리 다시팩 15개입 (냉동), 225g, 1팩",,,10900,(10g당484원),내일(일) 새벽도착 보장,232,545,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/02/22/14/3/3abf5102-7598-4714-b113-01e6fcb82b4e.jpg
"석하 천연한스푼 맛능한알육수 깊은맛, 120g, 2개",36,24000,15360,(10g당640원),내일(일) 새벽도착 보장,224,768,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1931726001339272-ca04c218-8906-463c-8489-0eeb9a5c430c.jpg
"해통령 더 간편한 육수명장 20p, 80g, 5개",2,26790,26200,"(100g당6,550원)",내일(일) 새벽도착 보장,318,1310,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4432736972892274-5169daff-919e-4fb1-b482-fec02959227b.jpg
"피쉬트리 국물용 다시팩 30개입, 510g, 1개",,,14900,(10g당292원),내일(일) 새벽도착 보장,77,745,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/04/20/11/8/b2ac548b-1a7e-4344-ad2e-cfa9272d0dcc.jpg
"조혜정의멸치연구소 삼천포멸치 다시마국물팩 (냉동), 288g, 1개",,,12000,"(10g당6,667원)",내일(일) 새벽도착 보장,722,600,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1545550256129669-2feea338-67c6-48f6-84b7-694db8ead8fe.jpg
"조혜정의멸치연구소 삼천포 디포리해물 다시팩, 16g, 30팩",,,18500,(10g당385원),내일(일) 새벽도착 보장,209,925,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1583598500154951-7f549fed-457a-40a0-be9b-89217da51471.jpg
"이어수산 맛의비결 멸치 해산물 국물팩 20포 (냉동), 300g, 1개",,,12530,(10g당418원),내일(일) 새벽도착 보장,108,626,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/10/04/18/7/c556abb8-6960-4e78-be96-3f82b866f972.jpg
"안옥남 멸치 국물한알 25p, 75g, 2개",,,12900,(10g당860원),내일(일) 새벽도착 보장,7,645,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/04/04/14/6/039e4c4d-be5f-43a7-94b4-ae11fb4b28f5.jpg
"해물 다시팩 15개입 (냉동), 225g, 1팩",,,6900,(10g당307원),내일(일) 새벽도착 보장,322,345,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/02/22/14/0/233d4b72-b1d1-4094-a076-24fd811d99fa.jpg
"바다원 간편 국물용팩 야채, 90g, 2세트",,,11940,(10g당663원),내일(일) 새벽도착 보장,1,597,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/941126171670623-4409ab0a-8298-448d-b163-27bffbc07fc0.jpg
"조혜정의멸치연구소 삼천포 멸치해물 다시팩, 16g, 30팩",2,18900,18400,(10g당383원),내일(일) 새벽도착 보장,77,920,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1756573625540535-c9575b78-08a5-422f-bfb4-32a3512dbbcb.jpg
